algorithm,n,near_start,near_middle,near_end,not_in_collection
binary,1,32,30,29,28
binary,5,39,33,48,45
binary,10,50,59,59,51
binary,50,72,73,76,79
binary,100,83,82,81,97
binary,500,110,114,111,133
binary,1000,123,129,123,146
binary,5000,155,159,153,176
binary,10000,166,175,170,186
binary,50000,203,209,200,218
binary,100000,221,227,223,222
binary,500000,264,272,272,243
binary,1000000,294,306,303,258
binary,5000000,363,369,339,276
jump,1,56,56,68,77
jump,5,29,51,46,64
jump,10,50,70,68,71
jump,50,80,104,100,106
jump,100,85,113,128,113
jump,500,127,172,220,180
jump,1000,154,220,279,239
jump,5000,266,408,558,416
jump,10000,363,548,760,561
jump,50000,765,1222,1691,1252
jump,100000,995,1657,2324,1696
jump,500000,2278,3792,5215,3831
jump,1000000,3193,5314,7267,5315
jump,5000000,6955,11851,16877,11646
linear,1,28,28,28,25
linear,5,25,30,35,36
linear,10,27,41,51,43
linear,50,32,105,176,190
linear,100,39,190,339,364
linear,500,106,875,1641,1734
linear,1000,191,1729,3265,3444
linear,5000,866,8478,16080,16910
linear,10000,1701,16853,32024,33722
linear,50000,8476,84081,160528,168485
linear,100000,16930,169194,322151,338508
linear,500000,81448,841939,1597735,1682840
linear,1000000,172033,1762318,3394702,3577621
linearRecursive,1,28,27,28,25
linearRecursive,5,26,33,38,40
linearRecursive,10,27,48,71,62
linearRecursive,50,34,145,480,497
linearRecursive,100,48,494,931,959
linearRecursive,500,232,2654,5068,5294
linearRecursive,1000,491,5347,10238,10879
linearRecursive,5000,2760,27961,55541,58670
linearRecursive,10000,5388,56832,109828,115465
linearRecursive,50000,27930,295249,560712,589721
linearRecursive,100000,55521,592926,1135227,1193494
random,1,312,309,307,375
random,5,1040,1027,1036,1034
random,10,1861,1819,1837,1887
random,50,8293,8298,8162,8442
random,100,15737,16109,15987,16145
random,500,72761,73109,72742,74111
random,1000,144670,143773,144484,147082
random,5000,719337,718897,717982,739516
random,10000,1447250,1446328,1440267,1482574
random,50000,7207655,7198402,7161925,7398717
random,100000,14379054,14382060,14362703,14805947
